kind,kwh_per_interval
discharge,11.419686539953773
discharge,26.538975482399906
discharge,12.562357508577179
charge,35.825311256271675
charge,24.965927977964498
discharge,2.5493210429775672
charge,16.634254198671897
charge,45.744595907325106
charge,43.38015481221794
charge,18.95306129434175
charge,19.936074829694917
charge,49.750251307722465
charge,39.27607119910601
charge,18.637172492396417
charge,15.87901282751227
charge,10.820753278567622
charge,24.20290690011791
charge,28.83112717496215
charge,20.02449076623509
charge,36.93342083873904
charge,38.768158560706524
charge,15.887359174887138
discharge,23.23953002070516
discharge,27.435323748985866
charge,15.30611139182372
charge,56.65935435154279
charge,52.973974882979974
charge,27.291496301813368
charge,8.077849450002077
charge,20.828101751925487
charge,9.304353861457457
charge,21.155923656489676
charge,67.78991624834225
charge,477.11513635039915
discharge,187.62122114683666
discharge,829.0556395836496
discharge,15.520872489827298
discharge,19.757151066171673
discharge,16.271289276877496
discharge,10.03791352240387
charge,14.572818116305825
charge,9.033259776621549
discharge,2.5443903100458556
charge,29.51239822642458
charge,818.6249348416009
discharge,0.017296020620733543
discharge,833.3333333333333
discharge,833.3333333333333
discharge,761.5290500000001
discharge,705.7225000000001
discharge,650.1215333333332
discharge,574.4304333333332
discharge,484.6854166666666
discharge,406.9071666666664
discharge,364.3206499999999
discharge,358.7495833333335
discharge,360.82500000000005
discharge,303.32068333333336
discharge,223.58791666666662
discharge,226.96381666666673
discharge,238.29731666666657
discharge,200.58291666666673
discharge,131.35674999999992
discharge,5.185728472953315
charge,783.1331936226625
charge,763.2466955726088
charge,773.2176619447625
charge,808.9250954895595
charge,823.7361209078282
charge,832.7736075451655
charge,833.3333333333333
charge,793.1929795631154
charge,767.1671544340543
charge,765.3800509921629
charge,755.4021700366641
charge,746.4955797261912
discharge,31.541937839007915
discharge,51.09821594845198
discharge,59.435373648813425
discharge,39.60067923053623
discharge,84.77856606732632
discharge,179.75131666666675
discharge,170.3679166666666
discharge,246.0125833333334
discharge,270.1894166666667
discharge,240.85666666666657
discharge,302.44500000000005
discharge,387.17445
charge,788.451922431135
charge,748.0873420357971
charge,628.2782946812601
charge,35.532884024860664
charge,44.32820921728262
charge,6.717030303899037
discharge,20.49480636463568
discharge,37.66590810429284
discharge,12.70168522160634
discharge,31.00569060329792
discharge,21.625585031163155
charge,5.358110210334075
charge,11.751790434525674
discharge,42.32437669596061
discharge,50.54266817939026
discharge,6.074668692621117
charge,10.003172397743128
discharge,24.9136933560261
discharge,19.971355110860486
discharge,8.479505360575331
charge,3.3579780630185496
charge,5.711169963863085
charge,18.647011390400394
discharge,10.766400511233542
discharge,738.1166666666666
discharge,736.8278666666666
discharge,715.8313666666666
discharge,697.405
discharge,685.9789333333333
discharge,683.2323833333332
discharge,692.54
discharge,714.0837666666666
discharge,529.5712002666723
discharge,731.2533333333333
discharge,736.3145
charge,8.103154712046717
charge,30.75458667320231
discharge,19.99154761966429
discharge,45.408525311660696
charge,15.805910454622676
discharge,23.086112366740394
discharge,27.26301316767581
charge,766.3637634052718
charge,809.0172738827077
charge,58.36949729886783
charge,799.4564117993682
charge,782.835482390014
charge,767.6917738700072
charge,765.6984913275639
charge,759.4996809924023
charge,759.7954216724968
charge,787.9378751292538
charge,767.9386921878814
charge,789.617583765147
charge,820.2897344127946
charge,3.7865056858365165
discharge,10.3315055438336
charge,8.038274601555884
charge,32.36113249402206
charge,56.1638358316244
charge,44.0328265345488
charge,53.59572181776247
charge,18.168129732936336
discharge,2.6668617602621225
charge,12.401283825013252
charge,39.900462484613854
charge,20.825391889669106
charge,9.235957773251243
discharge,11.75446772238439
discharge,16.911242040622085
charge,5.5685505159795525
charge,32.06979525967262
charge,55.03191491633078
charge,45.531815272142296
charge,16.67573335245754
discharge,19.850885060009773
discharge,28.12149429513113
charge,1.7808768658752
charge,30.944642121227105
charge,4.918730917501193
charge,5.898272308030187
charge,29.028582367671902
charge,15.619266088607105
charge,0.8767111114932504
discharge,4.9974541955159
charge,4.035621544193418
charge,26.153445308151788
charge,56.349716440200154
charge,671.9773933519638
discharge,510.8942666666667
discharge,494.3066666666667
discharge,515.093
discharge,524.3612499999999
discharge,512.1366666666667
discharge,518.9685999999999
discharge,536.0374499999999
discharge,535.6145833333333
discharge,496.16020000000003
discharge,441.33335000000005
discharge,377.83875
discharge,300.2613833333333
discharge,264.4165833333333
discharge,261.0745833333333
discharge,225.46909999999997
discharge,190.9101666666666
discharge,160.77333333333326
discharge,110.63316666666663
discharge,120.12923333333333
discharge,156.96333333333325
discharge,102.35144999999989
discharge,41.236166666666804
discharge,6.847500000000082
charge,51.06588333333332
