date,published_plan_kwh,published_plan_cost_yuan,natural_plan_kwh,natural_plan_cost_yuan,emergency_kwh,emergency_cost_yuan,natural_total_cost_yuan,surplus_kwh,soc_start_kwh,soc_end_kwh,forecast_mae_kwh,weekday_weight,residual_window_days,scenario_count
2025-06-11,76825.34186047138,48084.73264631065,76803.74035017972,48075.49584050993,3415.8250712916642,20820.636334232244,68896.13217474218,771.097067721195,2396.91227185185,1691.2846091849538,130.02092271412036,0.75,7,7
2025-06-12,77472.9522480059,48370.714205142314,77604.7258416309,48427.06059377636,129.25994152083746,788.981878751237,49216.042472527595,894.4519799125513,1691.2846091849538,1568.1104679552466,102.291598046875,0.75,7,7
2025-06-13,42008.38413801731,25356.996951900994,42042.48038801731,25371.576508400994,0.0,0.0,25371.576508400994,8841.745388477368,1568.1104679552466,4004.190533027312,61.323441695601865,0.75,7,7
2025-06-14,38911.53445623418,23905.532119988777,38751.18341456751,23836.96601457211,0.0,0.0,23836.96601457211,11194.414340337567,4004.190533027312,3412.0894034916655,54.176508622685176,0.75,7,7
2025-06-15,77654.83363994247,49404.4991224695,77662.30051494247,49407.691958219504,0.0,0.0,49407.691958219504,3661.413160850634,3412.0894034916655,2787.6143052720636,70.62974564525462,0.75,7,7
2025-06-16,79941.00852267718,51148.822998846386,79944.97602267718,51150.519501846386,0.0,0.0,51150.519501846386,3235.792447747731,2787.6143052720636,2735.7531284930847,70.51564949363424,0.75,7,7
2025-06-17,80248.4332679105,51207.141685556715,80267.38742278551,51215.24648218126,0.8714583333332939,5.874936354166401,51221.121418535426,2065.078320458646,2735.7531284930847,2241.14787664352,82.29716899594908,0.75,7,7
2025-06-18,81760.08929598343,51713.30916528743,81765.17909944177,51715.485565246214,0.0,0.0,51715.485565246214,6834.637638180553,2241.14787664352,2594.5089443080487,53.65661063368056,0.75,7,7
2025-06-19,82035.51016697075,52202.77256789356,82148.45245863742,52251.06669181022,16.611458333333076,111.98614635416493,52363.05283816439,9488.807274357003,2594.5089443080487,3191.6179612499955,41.47862728587962,0.75,14,14
2025-06-20,45474.17550265134,27737.751500954517,45475.10341931801,27738.148278121185,0.0,0.0,27738.148278121185,19200.737320669603,3191.6179612499955,4942.78788564352,61.78607319155094,0.75,14,14
