表,变体,日期,时间段/项目,值1,值2,单位,口径,来源
表1,4-3,2025-12-21,18:00-18:10,703.9495,703.9495,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-12-21,20:00-20:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-12-21,全天购电量,94612.3898,94119.4415,kWh,模板行 00:10→次日00:10,payload
表1,4-3,2025-12-21,全天购电费/元（模板行口径）,70734.4128,146.2417,元,模板行 00:10→次日00:10,"payload（4-2 为 PMAT·x 全额、无 min；4-3 为 p·min(x,q)）"
表1,4-3,2025-12-21,全天购电费/元（自然日口径）,70759.0252,144.8785,元,自然日 00:00–24:00,summary daily
表2,4-3,2025-12-21,0:00-4:00,883.8212,277.3661,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-12-21,4:00-8:00,355.2898,274.6595,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-12-21,8:00-12:00,4260.4121,8048.0582,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-12-21,12:00-16:00,8750.3467,2539.9465,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-12-21,16:00-20:00,271.5933,4777.9103,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-12-21,20:00-24:00,9633.9776,3726.7303,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-12-21,0:00 储电量,10111.8783,,kWh,自然日 00:00–24:00,payload/summary
表2,4-3,2025-12-21,24:00 储电量,10024.3628,,kWh,自然日 00:00–24:00,payload/summary
表3,4-3,2025-12-21,（当日无紧急购电）,0.0000,0.0000,kWh,自然日 00:00–24:00,payload
表3,4-3,2025-12-21,当日紧急购电费/元,0.0000,,元,自然日 00:00–24:00,summary daily
—,4-3,2025-12-21,当日总费用/元,70903.9037,,元,自然日 00:00–24:00,summary daily
